brand_name,generic_name,application_number,sponsor_name,dosage_form,route,marketing_status
PURINETHOL,MERCAPTOPURINE,NDA009053,STASON PHARMS,TABLET,ORAL,Prescription
PURIXAN,MERCAPTOPURINE,NDA205919,NOVA LABS LTD,SUSPENSION,ORAL,Prescription
PYLARIFY,PIFLUFOLASTAT F-18,NDA214793,PROGENICS PHARMS INC,SOLUTION,INTRAVENOUS,Prescription
PYLARIFY TRUVU,PIFLUFOLASTAT F-18,NDA220089,APHELION,SOLUTION,INTRAVENOUS,Prescription
PYLERA,BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE,NDA050786,LABS JUVISE,CAPSULE,ORAL,Prescription
PYLORI-CHEK BREATH TEST,UREA C-13,NDA020900,DXS DEVICES,FOR SOLUTION,ORAL,Discontinued
PYOCIDIN,HYDROCORTISONE; POLYMYXIN B SULFATE,ANDA061606,FOREST LABS,SOLUTION/DROPS,OTIC,Discontinued
PYOPEN,CARBENICILLIN DISODIUM,NDA050298,GLAXOSMITHKLINE,INJECTABLE,INJECTION,Discontinued
PYQUVI,DEFLAZACORT,ANDA219417,AUCTA,SUSPENSION,ORAL,Prescription
PYRAZINAMIDE,PYRAZINAMIDE,ANDA080157,NOVITIUM PHARMA,TABLET,ORAL,Prescription
PYRIDAMAL 100,CHLORPHENIRAMINE MALEATE,ANDA083733,BEL MAR,INJECTABLE,INJECTION,Discontinued
PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,ANDA203184,IMPAX LABS INC,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
PYRIDOXINE HYDROCHLORIDE,PYRIDOXINE HYDROCHLORIDE,ANDA080669,LUITPOLD,INJECTABLE,INJECTION,Discontinued
PYRILAMINE MALEATE,PYRILAMINE MALEATE,ANDA080808,IMPAX LABS,TABLET,ORAL,Discontinued
PYRIMETHAMINE,PYRIMETHAMINE,ANDA216983,AUROBINDO PHARMA LTD,TABLET,ORAL,Prescription
PYROLITE,TECHNETIUM TC-99M PYRO/TRIMETA PHOSPHATES KIT,NDA017684,PHARMALUCENCE,INJECTABLE,INJECTION,Discontinued
PYRUKYND,MITAPIVAT SULFATE,NDA216196,AGIOS PHARMS INC,TABLET,ORAL,Prescription
PYTEST,"UREA, C-14",NDA020617,AVENT,CAPSULE,ORAL,Discontinued
PYTEST KIT,"UREA, C-14",NDA020617,AVENT,CAPSULE,ORAL,Discontinued
PYZCHIVA,USTEKINUMAB-TTWE,BLA761373,SAMSUNG BIOEPIS CO LTD,INJECTABLE,INJECTION,Prescription
Q-GESIC,ASPIRIN; MEPROBAMATE,ANDA088740,QUANTUM PHARMICS,TABLET,ORAL,Discontinued
Q-PAM,DIAZEPAM,ANDA070425,QUANTUM PHARMICS,TABLET,ORAL,Discontinued
QALSODY,TOFERSEN,NDA215887,BIOGEN MA,SOLUTION,INTRATHECAL,Prescription
QAMZOVA,MELOXICAM,NDA217593,NANJING DELOVA,SOLUTION,INTRAVENOUS,Prescription
QBRELIS,LISINOPRIL,NDA208401,AZURITY,SOLUTION,ORAL,Prescription
QBREXZA,GLYCOPYRRONIUM TOSYLATE,NDA210361,JOURNEY,CLOTH,TOPICAL,Prescription
QDOLO,TRAMADOL HYDROCHLORIDE,NDA214044,ROSEMONT,SOLUTION,ORAL,Discontinued
QELBREE,VILOXAZINE HYDROCHLORIDE,NDA211964,SUPERNUS PHARMS,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
QFITLIA,FITUSIRAN SODIUM,NDA219019,GENZYME CORP,SOLUTION,SUBCUTANEOUS,Prescription
QINLOCK,RIPRETINIB,NDA213973,DECIPHERA PHARMS,TABLET,ORAL,Prescription
QLONILIK,CLONIDINE HYDROCHLORIDE,NDA221094,CMP DEV LLC,SOLUTION,ORAL,Prescription
QLOSI,PILOCARPINE HYDROCHLORIDE,NDA217836,ORASIS PHARMS,SOLUTION/DROPS,OPHTHALMIC,Prescription
QMIIZ ODT,MELOXICAM,NDA211210,TERSERA,"TABLET, ORALLY DISINTEGRATING",ORAL,Discontinued
QNASL,BECLOMETHASONE DIPROPIONATE,NDA202813,TEVA BRANDED PHARM,"AEROSOL, METERED",NASAL,Prescription
QOLIANA,BRIMONIDINE TARTRATE,NDA021764,SANDOZ,SOLUTION/DROPS,OPHTHALMIC,Prescription
QSYMIA,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,NDA022580,VIVUS LLC,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
QTERN,DAPAGLIFLOZIN; SAXAGLIPTIN HYDROCHLORIDE,NDA209091,ASTRAZENECA AB,TABLET,ORAL,Discontinued
QTERNMET XR,DAPAGLIFLOZIN; METFORMIN HYDROCHLORIDE; SAXAGLIPTIN HYDROCHLORIDE,NDA210874,ASTRAZENECA AB,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
QUADRAMET,SAMARIUM SM-153 LEXIDRONAM PENTASODIUM,NDA020570,LANTHEUS MEDICAL,INJECTABLE,INJECTION,Discontinued
QUALAQUIN,QUININE SULFATE,NDA021799,SUN PHARM INDUSTRIES,CAPSULE,ORAL,Discontinued
QUARTETTE,ETHINYL ESTRADIOL; LEVONORGESTREL,NDA204061,TEVA BRANDED PHARM,TABLET,ORAL,Prescription
QUARZAN,CLIDINIUM BROMIDE,NDA010355,ROCHE,CAPSULE,ORAL,Discontinued
QUASENSE,ETHINYL ESTRADIOL; LEVONORGESTREL,ANDA077101,WATSON LABS,TABLET,ORAL,Prescription
QUDEXY XR,TOPIRAMATE,NDA205122,UPSHER SMITH LABS,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
QUELICIN,SUCCINYLCHOLINE CHLORIDE,NDA008845,HOSPIRA,INJECTABLE,INJECTION,Prescription
QUELICIN PRESERVATIVE FREE,SUCCINYLCHOLINE CHLORIDE,NDA008845,HOSPIRA,INJECTABLE,INJECTION,Discontinued
QUESTRAN,CHOLESTYRAMINE,NDA016640,BRISTOL MYERS,POWDER,ORAL,Discontinued
