brand_name,generic_name,application_number,sponsor_name,dosage_form,route,marketing_status
8-HOUR BAYER,ASPIRIN,NDA016030,BAYER,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
8-MOP,METHOXSALEN,NDA009048,VALEANT PHARM INTL,CAPSULE,ORAL,Discontinued
A-HYDROCORT,HYDROCORTISONE SODIUM SUCCINATE,ANDA089577,ABBOTT,INJECTABLE,INJECTION,Discontinued
A-METHAPRED,METHYLPREDNISOLONE SODIUM SUCCINATE,ANDA085852,HOSPIRA,INJECTABLE,INJECTION,Discontinued
A-POXIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,ANDA085513,ABBOTT,CAPSULE,ORAL,Discontinued
A.P.L.,"GONADOTROPIN, CHORIONIC",BLA017055,FERRING,INJECTABLE,INJECTION,Discontinued
A/T/S,ERYTHROMYCIN,ANDA062405,TARO,SOLUTION,TOPICAL,Discontinued
ABACAVIR AND LAMIVUDINE,ABACAVIR; LAMIVUDINE,NDA208775,CIPLA LIMITED,"TABLET, FOR SUSPENSION",ORAL,None (Tentative Approval)
ABACAVIR SULFATE,ABACAVIR SULFATE,ANDA201107,HETERO LABS LTD III,SOLUTION,ORAL,Prescription
ABACAVIR SULFATE AND LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,ANDA212663,MACLEODS PHARMS,TABLET,ORAL,Discontinued
"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE",ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,ANDA090309,MYLAN PHARMA,TABLET,ORAL,None (Tentative Approval)
ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,NDA202381,MYLAN LABS,TABLET,ORAL,None (Tentative Approval)
ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,ANDA212181,EMCURE PHARMS LTD,TABLET,,None (Tentative Approval)
"ABACAVIR, DOLUTEGRAVIR AND LAMIVUDINE","ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",ANDA217830,MACLEODS PHARMACEUTICALS LTD,TABLET,,None (Tentative Approval)
"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE","ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",ANDA210391,CIPLA LIMITED,TABLET,,None (Tentative Approval)
ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,ANDA216223,LAURUS LABS LTD,TABLET,ORAL,None (Tentative Approval)
ABACAVIR; LAMIVUDINE,ABACAVIR; LAMIVUDINE,NDA207369,HETERO LABS LTD V,TABLET,ORAL,None (Tentative Approval)
ABANTA,APIXABAN,NDA221024,AZURITY,CAPSULE,ORAL,Prescription
ABELCET,AMPHOTERICIN B,NDA050724,LEADIANT BIOSCI INC,"INJECTABLE, LIPID COMPLEX",INJECTION,Discontinued
ABEMACICLIB,ABEMACICLIB,ANDA220238,"QILU PHARMACEUTICAL CO., LTD.",TABLET,,None (Tentative Approval)
ABILIFY,ARIPIPRAZOLE,NDA021436,OTSUKA,TABLET,ORAL,Prescription
ABILIFY ASIMTUFII,ARIPIPRAZOLE,NDA217006,OTSUKA,"SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,Prescription
ABILIFY MAINTENA KIT,ARIPIPRAZOLE,NDA202971,OTSUKA PHARM CO LTD,"FOR SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,Prescription
ABILIFY MYCITE KIT,ARIPIPRAZOLE,NDA207202,OTSUKA,TABLET,ORAL,Discontinued
ABIRATERONE ACETATE,ABIRATERONE ACETATE,ANDA208339,HIKMA,TABLET,ORAL,Prescription
ABITREXATE,METHOTREXATE SODIUM,ANDA089355,ABIC,INJECTABLE,INJECTION,Discontinued
ABLAVAR,GADOFOSVESET TRISODIUM,NDA021711,LANTHEUS MEDCL,SOLUTION,INTRAVENOUS,Discontinued
ABLYSINOL,DEHYDRATED ALCOHOL,NDA207987,BPI LABS,SOLUTION,INTRA-ARTERIAL,Prescription
ABRAXANE,PACLITAXEL,NDA021660,BRISTOL-MYERS,POWDER,INTRAVENOUS,Prescription
ABREVA,DOCOSANOL,NDA020941,HALEON US HOLDINGS,CREAM,TOPICAL,Over-the-counter
ABRILADA,ADALIMUMAB-AFZB,BLA761118,PFIZER INC,INJECTABLE,INJECTION,Prescription
ABSORICA,ISOTRETINOIN,NDA021951,SUN PHARM INDS INC,CAPSULE,ORAL,Prescription
ABSORICA LD,ISOTRETINOIN,NDA211913,SUN PHARM,CAPSULE,ORAL,Discontinued
ABSTRAL,FENTANYL CITRATE,NDA022510,SENTYNL THERAPS INC,TABLET,SUBLINGUAL,Discontinued
ACALABRUTINIB,ACALABRUTINIB,ANDA216833,MSN LABORATORIES PRIVATE LTD,CAPSULE,,None (Tentative Approval)
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,ANDA200143,BARR LABS DIV TEVA,"TABLET, DELAYED RELEASE",ORAL,Discontinued
ACANYA,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,NDA050819,BAUSCH,GEL,TOPICAL,Prescription
ACARBOSE,ACARBOSE,ANDA078441,IMPAX LABS,TABLET,ORAL,Prescription
ACCOLATE,ZAFIRLUKAST,NDA020547,STRIDES PHARMA INTL,TABLET,ORAL,Prescription
ACCRETROPIN,SOMATROPIN,BLA021538,EMERGENT,INJECTABLE,INJECTION,Discontinued
ACCRUFER,FERRIC MALTOL,NDA212320,SHIELD TX,CAPSULE,ORAL,Prescription
ACCUNEB,ALBUTEROL SULFATE,NDA020949,PHARMOBEDIENT,SOLUTION,INHALATION,Discontinued
ACCUPRIL,QUINAPRIL HYDROCHLORIDE,NDA019885,PFIZER PHARMS,TABLET,ORAL,Discontinued
ACCURBRON,THEOPHYLLINE,ANDA088746,SANOFI AVENTIS US,SYRUP,ORAL,Discontinued
ACCURETIC,HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE,NDA020125,PFIZER PHARMS,TABLET,ORAL,Discontinued
ACCUTANE,ISOTRETINOIN,NDA018662,HOFFMANN LA ROCHE,CAPSULE,ORAL,Discontinued
ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,ANDA074288,PHARMOBEDIENT,CAPSULE,ORAL,Discontinued
ACEON,PERINDOPRIL ERBUMINE,NDA020184,SYMPLMED PHARMS LLC,TABLET,ORAL,Discontinued
ACEPHEN,ACETAMINOPHEN,ANDA072237,COSETTE PHARMS NC,SUPPOSITORY,RECTAL,Discontinued
ACETADOTE,ACETYLCYSTEINE,NDA021539,APOTEX,INJECTABLE,INTRAVENOUS,Prescription
ACETAMINOPHEN,ACETAMINOPHEN,NDA018337,TARO,SUPPOSITORY,RECTAL,Over-the-counter
ACETAMINOPHEN AND CODEINE PHOSPHATE,ACETAMINOPHEN; CODEINE PHOSPHATE,ANDA085288,KV PHARM,TABLET,ORAL,Discontinued
ACETAMINOPHEN AND HYDROCODONE BITARTRATE,ACETAMINOPHEN; HYDROCODONE BITARTRATE,ANDA088898,CENT PHARMS,CAPSULE,ORAL,Discontinued
ACETAMINOPHEN AND IBUPROFEN,ACETAMINOPHEN; IBUPROFEN,ANDA214836,L PERRIGO CO,TABLET,ORAL,Over-the-counter
ACETAMINOPHEN AND PENTAZOCINE HYDROCHLORIDE,ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE,ANDA076202,GAVIS PHARMS,TABLET,ORAL,Discontinued
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",ACETAMINOPHEN; ASPIRIN; CAFFEINE,ANDA211695,AUROBINDO PHARMA LTD,TABLET,ORAL,Over-the-counter
"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,ANDA081097,MIKART,CAPSULE,ORAL,Discontinued
"ACETAMINOPHEN, CAFFEINE AND DIHYDROCODEINE BITARTRATE",ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ANDA204209,PHARMOBEDIENT,TABLET,ORAL,Discontinued
"ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE",ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE,ANDA040637,WEST-WARD PHARM CORP,TABLET,ORAL,Discontinued
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,ANDA207113,ACTAVIS LABS FL INC,"TABLET, EXTENDED RELEASE",ORAL,None (Tentative Approval)
ACETASOL,"ACETIC ACID, GLACIAL",ANDA087146,ACTAVIS MID ATLANTIC,SOLUTION/DROPS,OTIC,Discontinued
ACETASOL HC,"ACETIC ACID, GLACIAL; HYDROCORTISONE",ANDA087143,ACTAVIS MID ATLANTIC,SOLUTION/DROPS,OTIC,Discontinued
ACETATED RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,NDA018725,B BRAUN,INJECTABLE,INJECTION,Discontinued
ACETAZOLAMIDE,ACETAZOLAMIDE,ANDA084840,CHARTWELL MOLECULAR,TABLET,ORAL,Prescription
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,ANDA206533,ZYDUS PHARMS,INJECTABLE,INJECTION,Prescription
ACETIC ACID,"ACETIC ACID, GLACIAL",ANDA040166,CHARTWELL RX,SOLUTION/DROPS,OTIC,Discontinued
ACETIC ACID 0.25% IN PLASTIC CONTAINER,"ACETIC ACID, GLACIAL",NDA018161,B BRAUN,SOLUTION,"IRRIGATION, URETHRAL",Prescription
ACETIC ACID 2% IN AQUEOUS ALUMINUM ACETATE,"ACETIC ACID, GLACIAL; ALUMINUM ACETATE",ANDA040063,BAUSCH AND LOMB,SOLUTION/DROPS,OTIC,Discontinued
ACETIC ACID W/ HYDROCORTISONE,"ACETIC ACID, GLACIAL; HYDROCORTISONE",ANDA085492,KV PHARM,SOLUTION/DROPS,OTIC,Discontinued
ACETOHEXAMIDE,ACETOHEXAMIDE,ANDA070754,USL PHARMA,TABLET,ORAL,Discontinued
ACETYLCYSTEINE,ACETYLCYSTEINE,ANDA203853,ALVOGEN,SOLUTION,"INHALATION, ORAL",Prescription
ACHES-N-PAIN,IBUPROFEN,ANDA071065,LEDERLE,TABLET,ORAL,Discontinued
ACHROMYCIN,HYDROCORTISONE; TETRACYCLINE HYDROCHLORIDE,NDA050272,LEDERLE,OINTMENT,OPHTHALMIC,Discontinued
ACHROMYCIN,PROCAINE HYDROCHLORIDE; TETRACYCLINE HYDROCHLORIDE,NDA050276,LEDERLE,INJECTABLE,INJECTION,Discontinued
ACHROMYCIN,TETRACYCLINE HYDROCHLORIDE,NDA050268,STORZ,SUSPENSION/DROPS,OPHTHALMIC,Discontinued
ACHROMYCIN V,TETRACYCLINE HYDROCHLORIDE,NDA050263,LEDERLE,SUSPENSION,ORAL,Discontinued
ACILAC,LACTULOSE,ANDA073685,NOSTRUM LABS,SOLUTION,"ORAL, RECTAL",Discontinued
ACIPHEX,RABEPRAZOLE SODIUM,NDA020973,WAYLIS THERAP,"TABLET, DELAYED RELEASE",ORAL,Discontinued
ACIPHEX SPRINKLE,RABEPRAZOLE SODIUM,NDA204736,AYTU,"CAPSULE, DELAYED RELEASE",ORAL,Discontinued
ACITRETIN,ACITRETIN,ANDA091455,BARR LABS INC,CAPSULE,ORAL,Prescription
ACLOVATE,ALCLOMETASONE DIPROPIONATE,NDA018707,FOUGERA,CREAM,TOPICAL,Discontinued
ACTAHIST,PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE,ANDA088344,CENCI,SYRUP,ORAL,Discontinued
ACTEMRA,TOCILIZUMAB,BLA125472,GENENTECH,INJECTABLE,"INTRAVENOUS, SUBCUTANEOUS",Prescription
ACTH,CORTICOTROPIN,NDA008317,PARKEDALE,INJECTABLE,INJECTION,Discontinued
ACTHAR,CORTICOTROPIN,NDA007504,SANOFI AVENTIS US,INJECTABLE,INJECTION,Discontinued
ACTHAR GEL,CORTICOTROPIN,NDA008372,MALLINCKRODT IRELAND,INJECTABLE,INJECTION,Discontinued
ACTHAR GEL (AUTOINJECTOR),CORTICOTROPIN,NDA008372,MALLINCKRODT IRELAND,INJECTABLE,INJECTION,Prescription
ACTHREL,CORTICORELIN OVINE TRIFLUTATE,BLA020162,FERRING,INJECTABLE,INJECTION,Prescription
ACTICLATE,DOXYCYCLINE HYCLATE,NDA205931,CHARTWELL RX,TABLET,ORAL,Prescription
ACTICLATE CAP,DOXYCYCLINE HYCLATE,NDA208253,CHARTWELL RX,CAPSULE,ORAL,Discontinued
ACTICORT,HYDROCORTISONE,ANDA086535,BAKER NORTON,LOTION,TOPICAL,Discontinued
ACTIDIL,TRIPROLIDINE HYDROCHLORIDE,NDA011110,GLAXOSMITHKLINE,TABLET,ORAL,Discontinued
ACTIFED,PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE,NDA018996,GLAXOSMITHKLINE,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
ACTIFED W/ CODEINE,CODEINE PHOSPHATE; PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE,NDA012575,GLAXOSMITHKLINE,SYRUP,ORAL,Discontinued
ACTIGALL,URSODIOL,NDA019594,TEVA BRANDED PHARM,CAPSULE,ORAL,Discontinued
ACTIMMUNE,INTERFERON GAMMA-1B,BLA103836,HORIZON THERAPEUTICS IRELAND DAC,VIAL,SINGLE-USE,Prescription
ACTIN-N,NITROFURAZONE,NDA017343,SHERWOOD MEDCL,DRESSING,TOPICAL,Discontinued
ACTINEX,MASOPROCOL,NDA019940,UNIV AZ CANCER CTR,CREAM,TOPICAL,Discontinued
ACTIQ,FENTANYL CITRATE,NDA020747,CEPHALON,TROCHE/LOZENGE,TRANSMUCOSAL,Discontinued
ACTISITE,TETRACYCLINE HYDROCHLORIDE,NDA050653,SCHIFF AND CO,"FIBER, EXTENDED RELEASE",PERIODONTAL,Discontinued
ACTIVASE,ALTEPLASE,BLA103172,GENENTECH,VIAL,SINGLE-USE,Prescription
ACTIVELLA,ESTRADIOL; NORETHINDRONE ACETATE,NDA020907,AMNEAL,TABLET,ORAL,Prescription
ACTONEL,RISEDRONATE SODIUM,NDA020835,APIL,TABLET,ORAL,Discontinued
ACTONEL WITH CALCIUM (COPACKAGED),CALCIUM CARBONATE; RISEDRONATE SODIUM,NDA021823,WARNER CHILCOTT,TABLET,ORAL,Discontinued
ACTOPLUS MET,METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE,NDA021842,TAKEDA PHARMS USA,TABLET,ORAL,Discontinued
ACTOPLUS MET XR,METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE,NDA022024,TAKEDA PHARMS USA,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
ACTOS,PIOGLITAZONE HYDROCHLORIDE,NDA021073,TAKEDA PHARMS USA,TABLET,ORAL,Prescription
ACTRON,KETOPROFEN,NDA020499,BAYER,TABLET,ORAL,Discontinued
ACULAR,KETOROLAC TROMETHAMINE,NDA019700,ABBVIE,SOLUTION/DROPS,OPHTHALMIC,Prescription
ACULAR LS,KETOROLAC TROMETHAMINE,NDA021528,ABBVIE,SOLUTION/DROPS,OPHTHALMIC,Prescription
ACULAR PRESERVATIVE FREE,KETOROLAC TROMETHAMINE,NDA020811,ALLERGAN,SOLUTION/DROPS,OPHTHALMIC,Discontinued
ACUTECT,TECHNETIUM TC-99M APCITIDE,NDA020887,CIS BIO INTL SA,INJECTABLE,INJECTION,Discontinued
ACUVAIL,KETOROLAC TROMETHAMINE,NDA022427,ABBVIE,SOLUTION/DROPS,OPHTHALMIC,Prescription
ACUVUE THERAVISION WITH KETOTIFEN,KETOTIFEN FUMARATE,NDA022388,JOHNSON JOHNSON VISN,DRUG-ELUTING CONTACT LENS,OPHTHALMIC,Discontinued
ACYCLOVIR,ACYCLOVIR,ANDA208766,AMNEAL,CREAM,TOPICAL,Prescription
ACYCLOVIR,ACYCLOVIR SODIUM,ANDA075114,ABBVIE,INJECTABLE,INJECTION,Discontinued
ACYCLOVIR IN SODIUM CHLORIDE 0.9% PRESERVATIVE FREE,ACYCLOVIR SODIUM,ANDA074885,EUROHLTH INTL SARL,INJECTABLE,INJECTION,Discontinued
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,ANDA074596,CHARTWELL INJECTABLE,INJECTABLE,INJECTION,Discontinued
ACYLANID,ACETYLDIGITOXIN,NDA009436,NOVARTIS,TABLET,ORAL,Discontinued
ACZONE,DAPSONE,NDA021794,ALMIRALL,GEL,TOPICAL,Prescription
ADAGEN,PEGADEMASE BOVINE,BLA019818,LEADIANT BIOSCI INC,INJECTABLE,INJECTION,Discontinued
ADAKVEO,CRIZANLIZUMAB-TMCA,BLA761128,NOVARTIS PHARMS CORP,INJECTABLE,INJECTION,Prescription
ADALAT,NIFEDIPINE,NDA019478,BAYER PHARMS,CAPSULE,ORAL,Discontinued
ADALAT CC,NIFEDIPINE,NDA020198,NORWICH,"TABLET, EXTENDED RELEASE",ORAL,Discontinued
ADAPALENE,ADAPALENE,ANDA201000,ACTAVIS MID ATLANTIC,GEL,TOPICAL,Prescription
ADAPALENE AND BENZOYL PEROXIDE,ADAPALENE; BENZOYL PEROXIDE,ANDA206164,ENCUBE,GEL,TOPICAL,Prescription
ADASUVE,LOXAPINE,NDA022549,NOVA PNEUMA,POWDER,INHALATION,Prescription
ADBRY,TRALOKINUMAB,BLA761180,LEO PHARMA AS,INJECTABLE,INJECTION,Prescription
ADCETRIS,BRENTUXIMAB VEDOTIN,BLA125388,SEATTLE GENETICS,INJECTABLE,INJECTION,Prescription
ADCIRCA,TADALAFIL,NDA022332,ELI LILLY CO,TABLET,ORAL,Prescription
ADDERALL 10,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA011522,TEVA WOMENS,TABLET,ORAL,Discontinued
ADDERALL 12.5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA011522,TEVA WOMENS,TABLET,ORAL,Discontinued
ADDERALL 15,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA011522,TEVA WOMENS,TABLET,ORAL,Discontinued
ADDERALL 20,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA011522,TEVA WOMENS,TABLET,ORAL,Discontinued
ADDERALL 30,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA011522,TEVA WOMENS,TABLET,ORAL,Discontinued
ADDERALL 5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA011522,TEVA WOMENS,TABLET,ORAL,Discontinued
ADDERALL 7.5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA011522,TEVA WOMENS,TABLET,ORAL,Discontinued
ADDERALL XR 10,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA021303,TAKEDA PHARMS USA,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
ADDERALL XR 15,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA021303,TAKEDA PHARMS USA,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
ADDERALL XR 20,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA021303,TAKEDA PHARMS USA,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
ADDERALL XR 25,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA021303,TAKEDA PHARMS USA,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
ADDERALL XR 30,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA021303,TAKEDA PHARMS USA,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
ADDERALL XR 5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,NDA021303,TAKEDA PHARMS USA,"CAPSULE, EXTENDED RELEASE",ORAL,Prescription
ADDYI,FLIBANSERIN,NDA022526,SPROUT PHARMS,TABLET,ORAL,Prescription
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,ANDA202051,SIGMAPHARM LABS LLC,TABLET,ORAL,Prescription
ADEMPAS,RIOCIGUAT,NDA204819,BAYER HLTHCARE,TABLET,ORAL,Prescription
ADENOCARD,ADENOSINE,NDA019937,ASTELLAS,INJECTABLE,INJECTION,Discontinued
ADENOSCAN,ADENOSINE,NDA020059,ASTELLAS,SOLUTION,INTRAVENOUS,Discontinued
ADENOSINE,ADENOSINE,ANDA078676,TEVA PHARMS USA,INJECTABLE,INJECTION,Discontinued
ADHANSIA XR,METHYLPHENIDATE HYDROCHLORIDE,NDA212038,KNOA PHARMA,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
ADIPEX-P,PHENTERMINE HYDROCHLORIDE,ANDA085128,TEVA,TABLET,ORAL,Prescription
ADLARITY,DONEPEZIL HYDROCHLORIDE,NDA212304,CORIUM,SYSTEM,TRANSDERMAL,Discontinued
ADLYXIN,LIXISENATIDE,BLA208471,SANOFI-AVENTIS US,SOLUTION,SUBCUTANEOUS,Prescription
ADMELOG,INSULIN LISPRO,BLA209196,SANOFI-AVENTIS US,SOLUTION,"INTRAVENOUS, SUBCUTANEOUS",Prescription
ADMELOG SOLOSTAR,INSULIN LISPRO,BLA209196,SANOFI-AVENTIS US,SOLUTION,SUBCUTANEOUS,Prescription
ADPHEN,PHENDIMETRAZINE TARTRATE,ANDA083655,FERNDALE LABS,TABLET,ORAL,Discontinued
ADQUEY,DIFAMILAST,NDA219474,ACROTECH BIOPHARMA,OINTMENT,TOPICAL,Prescription
ADRENACLICK,EPINEPHRINE,NDA020800,IMPAX,INJECTABLE,"INTRAMUSCULAR, SUBCUTANEOUS",Prescription
ADRENALIN,EPINEPHRINE,NDA204200,PH HEALTH,SOLUTION,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",Prescription
ADREVIEW,IOBENGUANE SULFATE I-123,NDA022290,GE HEALTHCARE,SOLUTION,INTRAVENOUS,Prescription
ADRIAMYCIN PFS,DOXORUBICIN HYDROCHLORIDE,ANDA063165,PFIZER,INJECTABLE,INJECTION,Discontinued
ADRUCIL,FLUOROURACIL,NDA017959,PHARMACIA AND UPJOHN,INJECTABLE,INJECTION,Discontinued
ADUHELM,ADUCANUMAB-AVWA,BLA761178,BIOGEN INC,INJECTABLE,INJECTION,Prescription
ADVAIR DISKUS 100/50,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,NDA021077,GLAXO GRP LTD,POWDER,INHALATION,Prescription
ADVAIR DISKUS 250/50,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,NDA021077,GLAXO GRP LTD,POWDER,INHALATION,Prescription
ADVAIR DISKUS 500/50,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,NDA021077,GLAXO GRP LTD,POWDER,INHALATION,Prescription
ADVAIR HFA,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,NDA021254,GLAXO GRP LTD,"AEROSOL, METERED",INHALATION,Prescription
ADVIL,IBUPROFEN,NDA018989,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL,IBUPROFEN SODIUM,NDA201803,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL ALLERGY AND CONGESTION RELIEF,CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE,NDA022113,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL ALLERGY SINUS,CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,NDA021441,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL COLD AND SINUS,IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,NDA019771,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL CONGESTION RELIEF,IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE,NDA022565,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL DUAL ACTION WITH ACETAMINOPHEN,ACETAMINOPHEN; IBUPROFEN,NDA211733,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL LIQUI-GELS,IBUPROFEN,NDA020402,HALEON US HOLDINGS,CAPSULE,ORAL,Over-the-counter
ADVIL MIGRAINE LIQUI-GELS,IBUPROFEN,NDA020402,HALEON US HOLDINGS,CAPSULE,ORAL,Over-the-counter
ADVIL MULTI-SYMPTOM COLD & FLU,CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE,NDA022113,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL PM,DIPHENHYDRAMINE CITRATE; IBUPROFEN,NDA021394,HALEON US HOLDINGS,TABLET,ORAL,Over-the-counter
ADVIL PM,DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN,NDA021393,HALEON US HOLDINGS,CAPSULE,ORAL,Over-the-counter
ADZENYS ER,AMPHETAMINE,NDA204325,NEOS THERAPS INC,"SUSPENSION, EXTENDED RELEASE",ORAL,Discontinued
ADZENYS XR-ODT,AMPHETAMINE,NDA204326,NEOS THERAPS,"TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE",ORAL,Prescription
AEMCOLO,RIFAMYCIN SODIUM,NDA210910,COSMO TECHNOLOGIES,"TABLET, DELAYED RELEASE",ORAL,Discontinued
AEROBID,FLUNISOLIDE,NDA018340,ROCHE PALO,"AEROSOL, METERED",INHALATION,Discontinued
AEROLATE,THEOPHYLLINE,ANDA089141,FLEMING PHARMS,SOLUTION,ORAL,Discontinued
AEROLATE III,THEOPHYLLINE,ANDA085075,FLEMING PHARMS,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
AEROLATE JR,THEOPHYLLINE,ANDA085075,FLEMING PHARMS,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
AEROLATE SR,THEOPHYLLINE,ANDA085075,FLEMING PHARMS,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued
AEROLONE,ISOPROTERENOL HYDROCHLORIDE,NDA007245,LILLY,SOLUTION,INHALATION,Discontinued
AEROSEB-DEX,DEXAMETHASONE,ANDA083296,ALLERGAN HERBERT,AEROSOL,TOPICAL,Discontinued
AEROSEB-HC,HYDROCORTISONE,ANDA085805,ALLERGAN HERBERT,AEROSOL,TOPICAL,Discontinued
